"No.","Quantity","Comment","Designator","Footprint","Value","Manufacturer Part","Manufacturer"
"1","1","100n","C1","RAD-0.1","","",""
"2","1","1u","C2","CAP-D5.0×F2.0","","",""
"3","2","1N4007W","D1,D2","1N4007","","1N4007W","BLUE ROCKET"
"4","5","HDR-M-2.54_1x1","DI,GND,OP,OUT,RC","HDR-M-2.54_1X1","","",""
"5","1","2.54-2P WZDK-R PITCH CONNECTOR","PIEZO","CONN-TH_2.54-2P-WZDK-R-PITCH-CONNECTOR","","2.54-2P WZDK-R Pitch Connector","SHOU HAN(首韩)"
"6","3","10k","R1,R2,R3","R_AXIAL-0.4","","",""
"7","1","4k7","R4","R_AXIAL-0.4","","",""
"8","1","100k","RP1","RES-ADJ-TH_3386P","","",""
"9","1","JST_3PIN_2.54MM","U1","3PIN_2.54_MM_JST_XHP_JST_CONNECTOR-TRUNG","","",""
"10","1","MCP6002","U2","MCP6002","","MCP6002-I/SN","MICROCHIP"
